player,Venue,Opponent,Tot_runs,Tot_SR,Tot_avg,Opp_runs,Opp_SR,Opp_avg,Ven_runs,Ven_SR,Ven_avg,Performance
A Bagai,Maple Leaf North-West Ground,Netherlands,558,0.6326530612244898,31.0,26,0.38235294117647056,13.0,8,0.2222222222222222,4.0,17
A Balbirnie,|||||||Civil Service Cricket Club|||,Zimbabwe,839,0.7238999137187231,25.424242424242426,253,0.8295081967213115,36.142857142857146,26,0.6666666666666666,8.666666666666666,55
A Codrington,Jaffery Sports Club Ground,Kenya,5,0.7142857142857143,5.0,5,0.7142857142857143,5.0,5,0.7142857142857143,5.0,71
A Dananjaya,|||||||R.Premadasa Stadium|||,Bangladesh,7,0.3333333333333333,3.5,0,0.0,0.0,0,0.0,0.0,0
A Flintoff,|||||||Beausejour Stadium|||,West Indies,781,0.8554216867469879,22.314285714285717,43,0.7166666666666667,10.75,3,0.42857142857142855,1.5,50
A Kumble,Madhavrao Scindia Cricket Ground,Sri Lanka,8,0.2352941176470588,1.6,2,0.4,2.0,2,0.4,2.0,40
A Martin,Barabati Stadium,India,10,0.3448275862068966,2.0,5,0.4166666666666667,1.6666666666666667,3,0.375,3.0,37
A Mishra,JSCA International Stadium Complex,New Zealand,43,0.4942528735632184,4.3,15,0.7142857142857143,7.5,14,0.8235294117647058,14.0,82
A Mithun,|||||||Sardar Patel Stadium|||,West Indies,51,0.8947368421052632,17.0,23,1.3529411764705883,23.0,47,1.175,23.5,135
A Nao,Sheikh Zayed Stadium,United Arab Emirates,8,1.0,4.0,8,1.0,4.0,8,1.0,4.0,133
A Nehra,|||||||Punjab Cricket Association Stadium|||,Pakistan,54,0.43200000000000005,2.8421052631578947,1,0.5,1.0,8,0.7272727272727273,4.0,50
A Neill,Mannofield Park,Oman,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
A Nel,Trent Bridge,England,115,0.8156028368794326,7.666666666666668,23,0.8846153846153846,11.5,13,1.625,13.0,162
A Shahzad,Zahur Ahmed Chowdhury Stadium,Bangladesh,40,0.6451612903225806,5.0,6,0.5,3.0,1,0.3333333333333333,1.0,33
A Shamshudeen,Gymkhana Club Ground,Kenya,3,0.1,3.0,3,0.1,3.0,3,0.1,3.0,10
