player,Venue,Opponent,Tot_wkts,Tot_SR,Tot_avg,Opp_wkts,Opp_SR,Opp_avg,Ven_wkts,Ven_SR,Ven_avg,Performance
A Balbirnie,Dubai International Cricket Stadium,Afghanistan,1,30.0,42.0,0,,,0,,,0
A Codrington,Jaffery Sports Club Ground,Kenya,0,inf,inf,0,,,0,,,1
A Dananjaya,|||||||R.Premadasa Stadium|||,Bangladesh,8,30.375,23.5,0,,,0,,,2
A Flintoff,|||||||Beausejour Stadium|||,West Indies,60,32.166666666666664,21.35,14,30.142857142857146,20.857142857142858,0,,,9
A Kumble,|||||||Queen's Park Oval|||,Bermuda,8,48.375,34.75,0,,,2,82.5,48.0,7
A Martin,|||||||MA Chidambaram Stadium|||,India,11,40.63636363636363,26.63636363636364,2,30.0,23.5,0,,,3
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,New Zealand,62,30.096774193548388,22.612903225806452,6,18.83333333333333,8.666666666666666,0,,,17
A Mithun,|||||||MA Chidambaram Stadium|||,West Indies,3,62.66666666666666,64.33333333333333,0,,,0,,,5
A Nao,Sheikh Zayed Stadium,United Arab Emirates,0,inf,inf,0,,,0,,,1
A Ndlovu,Sportpark Het Schootsveld,Netherlands,1,103.0,77.0,0,,,0,,,0
A Nehra,|||||||Punjab Cricket Association Stadium|||,Pakistan,65,34.69230769230769,31.415384615384607,0,,,0,,,5
A Neill,Mannofield Park,Oman,1,57.0,22.0,0,,,0,,,5
A Nel,Lord's,England,51,35.05882352941177,24.35294117647059,6,30.5,23.33333333333333,0,inf,inf,2
A Shahzad,Zahur Ahmed Chowdhury Stadium,Bangladesh,15,37.266666666666666,28.0,0,,,0,,,7
A Shamshudeen,Gymkhana Club Ground,Kenya,0,inf,inf,0,,,0,,,0
A Symonds,Sheikh Zayed Stadium,Pakistan,35,42.42857142857143,35.82857142857143,8,34.5,33.0,2,27.5,24.0,1
A Vala,Mannofield Park,Oman,15,32.13333333333333,16.2,0,,,0,,,5
A Zampa,Trent Bridge,Bangladesh,41,33.53658536585366,31.121951219512194,2,21.0,30.0,0,,,1
A van der Merwe,Clontarf Cricket Club Ground,Canada,1,126.0,79.0,0,,,0,,,1
AA Noffke,|||||||Brisbane Cricket Ground|||,India,1,54.0,46.0,0,,,0,,,2
AB Agarkar,Kennington Oval,England,52,37.480769230769226,27.73076923076923,8,28.125,21.5,0,,,1
AB Dinda,Saurashtra Cricket Association Stadium,England,12,51.08333333333334,49.41666666666666,1,68.0,65.0,0,,,3
AB de Villiers,Senwes Park,New Zealand,7,28.714285714285715,26.857142857142854,0,inf,inf,0,,,1
AC Agar,Old Trafford,England,2,33.5,28.0,0,,,0,,,2
AC Botha,|||||||Punjab Cricket Association Stadium|||,West Indies,14,42.642857142857146,29.42857142857143,0,,,0,inf,inf,2
AC Cummins,|||||||Beausejour Stadium|||,New Zealand,4,50.75,38.25,0,,,0,,,1
AC Evans,Mannofield Park,Oman,20,40.45,33.6,0,,,0,,,0
AC Voges,|||||||Punjab Cricket Association Stadium|||,India,5,49.4,45.8,0,inf,inf,0,,,2
AD Mascarenhas,Trent Bridge,Australia,13,63.769230769230774,47.92307692307693,0,inf,inf,0,,,2
AD Mathews,Riverside Ground,West Indies,109,44.467889908256886,33.07339449541284,3,78.0,62.0,2,73.0,38.5,4
AD Russell,The Cooper Associates County Ground,Bangladesh,69,33.42028985507246,29.144927536231886,3,18.666666666666668,23.0,0,,,2
ADJ Pitcher,Ruaraka Sports Club Ground,Netherlands,0,inf,inf,0,,,0,,,1
ADS Fletcher,|||||||Kensington Oval|||,South Africa,0,inf,inf,0,,,0,,,0
