PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,11,17,1.5454545454545454,1762
BJ Haddin,3,1,0.3333333333333333,1762
CJ McKay,8,6,0.75,1762
CL White,43,35,0.813953488372093,1762
DPMD Jayawardene,15,5,0.3333333333333333,1762
KC Sangakkara,53,45,0.8490566037735849,1762
MEK Hussey,19,15,0.7894736842105263,1762
MG Johnson,17,23,1.3529411764705883,1762
MJ Clarke,30,25,0.8333333333333334,1762
NM Hauritz,5,4,0.8,1762
PM Siddle,5,9,1.8,1762
RT Ponting,16,10,0.625,1762
SPD Smith,38,33,0.868421052631579,1762
SR Watson,45,40,0.8888888888888888,1762
TM Dilshan,57,47,0.8245614035087719,1762
WU Tharanga,119,86,0.7226890756302521,1762
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
BB McCullum,26,77,2.9615384615384617,3332
CR Woakes,2,1,0.5,3332
EJG Morgan,41,17,0.4146341463414634,3332
GS Ballance,29,10,0.3448275862068966,3332
IR Bell,18,8,0.4444444444444444,3332
JC Buttler,7,3,0.42857142857142855,3332
JE Root,71,46,0.647887323943662,3332
JM Anderson,2,1,0.5,3332
JWA Taylor,2,0,0.0,3332
KS Williamson,23,9,0.391304347826087,3332
LRPL Taylor,5,5,1.0,3332
MJ Guptill,24,22,0.9166666666666666,3332
MM Ali,17,20,1.1764705882352942,3332
SCJ Broad,10,4,0.4,3332
ST Finn,8,0,0.0,3332
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AC Voges,16,16,1.0,2800
AJ Finch,45,45,1.0,2800
BA Stokes,7,5,0.7142857142857143,2800
EJG Morgan,72,54,0.75,2800
GJ Bailey,67,82,1.2238805970149254,2800
IJL Trott,2,0,0.0,2800
JC Buttler,65,75,1.1538461538461537,2800
JC Tredwell,1,1,1.0,2800
JE Root,15,3,0.2,2800
JP Faulkner,11,18,1.6363636363636365,2800
KP Pietersen,68,60,0.8823529411764706,2800
MA Carberry,11,4,0.36363636363636365,2800
MG Johnson,4,6,1.5,2800
MJ Clarke,104,105,1.0096153846153846,2800
MS Wade,1,0,0.0,2800
RS Bopara,7,1,0.14285714285714285,2800
SE Marsh,4,0,0.0,2800
SR Watson,51,38,0.7450980392156863,2800
ST Finn,23,16,0.6956521739130435,2800
WB Rankin,1,1,1.0,2800
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Russell,64,92,1.4375,1983
CS Baugh,74,36,0.4864864864864865,1983
DJG Sammy,14,3,0.21428571428571427,1983
DP Hyatt,5,1,0.2,1983
Harbhajan Singh,65,41,0.6307692307692307,1983
KA Edwards,2,0,0.0,1983
KA Pollard,18,6,0.3333333333333333,1983
KAJ Roach,10,7,0.7,1983
LMP Simmons,68,45,0.6617647058823529,1983
MN Samuels,10,1,0.1,1983
P Kumar,16,25,1.5625,1983
PA Patel,56,46,0.8214285714285714,1983
RG Sharma,94,86,0.9148936170212766,1983
RR Sarwan,39,28,0.717948717948718,1983
S Badrinath,28,11,0.39285714285714285,1983
S Dhawan,15,4,0.26666666666666666,1983
SK Raina,10,3,0.3,1983
V Kohli,1,0,0.0,1983
YK Pathan,3,1,0.3333333333333333,1983
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,13,17,1.3076923076923077,2201
AD Mathews,30,28,0.9333333333333333,2201
